latitude,longitude,acq_date,confidence,frp,type
49.52264,30.758,11/10/2023,n,4.79,0
51.00365,31.64905,11/10/2023,n,4.57,0
51.35743,32.19442,11/10/2023,n,4.12,0
50.87481,29.22701,11/10/2023,n,12.2,0
52.11815,32.46199,11/10/2023,n,3.99,0
52.30783,33.74273,11/10/2023,n,4.05,0
52.11912,32.46761,11/10/2023,n,3.99,0
51.69795,26.67785,11/10/2023,n,10.01,0
47.57412,29.29402,11/10/2023,n,5.36,0
47.5741,29.30269,11/10/2023,n,5.36,0
48.05532,30.33164,11/10/2023,n,13.5,0
48.0552,30.3412,11/10/2023,n,10.88,0
47.70124,29.3032,11/10/2023,n,3.46,0
47.70413,29.30407,11/10/2023,n,3.37,0
47.57152,29.30029,11/10/2023,n,6.61,0
48.25892,29.05527,11/10/2023,n,12.72,0
47.83472,38.47394,11/10/2023,n,1.46,2
48.24119,37.61444,11/10/2023,n,0.71,0
48.4652,38.75034,11/10/2023,n,0.79,2
48.46452,38.77083,11/10/2023,n,1.92,2
48.47046,38.75584,11/10/2023,n,0.87,2
48.57853,32.95352,11/10/2023,n,1.77,0
49.98346,36.09972,11/10/2023,n,0.74,0
49.98896,36.09819,11/10/2023,h,25.38,0
48.05956,37.95001,11/10/2023,n,0.71,2
48.06184,37.95007,11/10/2023,n,1,2
48.16879,37.87305,11/10/2023,n,0.32,0
47.83422,38.47362,11/10/2023,n,1.5,2
47.87212,35.15685,11/10/2023,n,1.3,2
46.76778,33.07419,11/10/2023,n,1.57,0
46.76807,33.07546,11/10/2023,n,1.9,0
51.20965,31.6349,12/10/2023,n,2.35,0
51.20633,31.63332,12/10/2023,n,2.35,0
48.78854,30.20732,12/10/2023,n,1.63,0
47.83474,38.47742,12/10/2023,n,1.45,2
48.47242,34.96544,12/10/2023,n,0.98,2
48.53295,34.64567,12/10/2023,n,2.45,3
48.52749,34.65105,12/10/2023,n,2.8,3
48.4739,34.63087,12/10/2023,n,1.65,2
51.20409,31.62601,12/10/2023,n,1.85,0
49.98434,36.10448,12/10/2023,n,8.66,0
49.98418,36.10237,12/10/2023,n,6.93,0
47.86895,35.16231,12/10/2023,n,2.31,3
48.46126,38.77158,12/10/2023,n,8.77,2
48.46508,38.7573,12/10/2023,n,1.84,2
49.59483,32.35362,12/10/2023,n,1.02,0
47.87973,35.19147,12/10/2023,n,2.47,2
48.84671,29.42448,12/10/2023,n,0.37,0
47.87196,33.43636,12/10/2023,n,1.06,2
47.86679,33.44133,12/10/2023,n,2.33,2
47.87389,33.41457,12/10/2023,n,1.25,3
47.86806,33.44167,12/10/2023,n,2.18,2
48.46297,28.48614,12/10/2023,n,0.43,0
48.9768,24.71234,12/10/2023,n,1.3,2
47.9249,30.66207,12/10/2023,n,1.61,0
51.21628,31.63803,12/10/2023,n,1.38,0
48.16191,37.88061,12/10/2023,n,0.7,0
48.05874,37.95111,12/10/2023,n,1.27,2
48.16247,37.8798,12/10/2023,n,1.26,0
50.54399,26.26177,12/10/2023,n,1.07,2
51.21404,31.63072,12/10/2023,n,1.38,0
46.68869,32.54913,12/10/2023,n,3.53,0
44.77296,33.86084,12/10/2023,n,1.29,2
46.68503,32.54748,12/10/2023,n,3.53,0
46.76578,33.08182,12/10/2023,n,2.84,0
47.41492,29.92799,12/10/2023,n,0.88,0
46.2079,32.5973,12/10/2023,n,2.26,0
46.51286,34.08368,12/10/2023,n,3.04,0
46.80524,35.4753,12/10/2023,n,10.38,0
47.11275,33.61507,12/10/2023,n,1.94,0
47.16907,33.57623,12/10/2023,n,1.27,0
47.99566,37.57776,12/10/2023,n,2.87,0
